Nombre de bornes disponibles;Nombre vélo en PARK+;Nombres de bornes en station;PARK + activation;densityLevel;Achat possible en station (CB);Description station;maxBikeOverflow;Etat du Totem;nbFreeDock;Nombre de vélo mécanique;PARK +;nbDock;Nombre vélo électrique;Nombre vélo en PARK+;Code de la station;Nom de la station;Etat des stations;Type de stations;geo;duedate
0;0;0;no;1;yes;"{""code"": ""7006"", ""name"": ""Quai Voltaire"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1542038400, ""gps"": {""latitude"": 48.85894298617901, ""longitude"": 2.331418204714572}}";32;yes;10;21;no;32;1;0;7006;Quai Voltaire;Operative;yes;48.8589429862, 2.33141820471;2018-11-12
15;0;18;no;1;no;"{""code"": ""6018"", ""name"": ""Michelet - Assas"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1528063220, ""gps"": {""latitude"": 48.84274150283194, ""longitude"": 2.335021197795868}}";0;yes;0;0;no;0;2;0;6018;Michelet - Assas;Operative;yes;48.8427415028, 2.3350211978;2018-06-03
16;0;19;no;1;no;"{""code"": ""19109"", ""name"": ""Tanger - Place du Maroc"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1529618441, ""gps"": {""latitude"": 48.8862524447104, ""longitude"": 2.3689296841621403}}";0;yes;0;2;no;0;1;0;19109;Tanger - Place du Maroc;Operative;yes;48.8862524447, 2.36892968416;2018-06-21
23;0;25;no;1;yes;"{""code"": ""10012"", ""name"": ""Vinaigriers - Magenta"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1517439640, ""gps"": {""latitude"": 48.8731167, ""longitude"": 2.3593052}}";25;yes;0;1;no;0;1;0;10012;Vinaigriers - Magenta;Operative;yes;48.8731167, 2.3593052;2018-01-31
20;0;24;no;1;yes;"{""code"": ""26001"", ""name"": ""Gare d'Asnières sur Seine"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1551769200, ""gps"": {""latitude"": 48.90636459217474, ""longitude"": 2.2835066914558415}}";0;yes;0;1;no;0;3;0;26001;Gare d'Asnières sur Seine;Operative;yes;48.9063645922, 2.28350669146;2019-03-05
20;0;26;no;1;yes;"{""code"": ""44102"", ""name"": ""Verdun - Adrien Damalix"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1522447200, ""gps"": {""latitude"": 48.8222334178559, ""longitude"": 2.4215328320860863}}";26;yes;0;3;no;0;2;0;44102;Verdun - Adrien Damalix;Operative;yes;48.8222334179, 2.42153283209;2018-03-30
22;0;22;no;1;no;"{""code"": ""9115"", ""name"": ""Milton - Manuel"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1550617200, ""gps"": {""latitude"": 48.878249, ""longitude"": 2.341181}}";0;yes;0;0;no;0;0;0;9115;Milton - Manuel;Operative;yes;48.878249, 2.341181;2019-02-19
23;0;24;no;1;no;"{""code"": ""18113"", ""name"": ""Lepic - Armée d'Orient"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1542751140, ""gps"": {""latitude"": 48.88753640381415, ""longitude"": 2.334307730197907}}";0;yes;0;1;no;0;0;0;18113;Lepic - Armée d'Orient;Operative;yes;48.8875364038, 2.3343077302;2018-11-20
0;0;0;no;1;no;"{""code"": ""16004"", ""name"": ""Université Paris Dauphine"", ""state"": ""Operative"", ""type"": ""no"", ""dueDate"": 1520586000, ""gps"": {""latitude"": 48.870707839985386, ""longitude"": 2.2748656198382378}}";70;yes;61;4;no;70;2;0;16004;Université Paris Dauphine;Operative;no;48.87070784, 2.27486561984;2018-03-09
19;0;22;no;1;yes;"{""code"": ""6016"", ""name"": ""Danton - Serpente"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1548010800, ""gps"": {""latitude"": 48.85229736258167, ""longitude"": 2.3414132371544834}}";22;yes;0;3;no;0;0;0;6016;Danton - Serpente;Operative;yes;48.8522973626, 2.34141323715;2019-01-20
16;0;20;no;1;no;"{""code"": ""17121"", ""name"": ""Square des Epinettes"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1551826800, ""gps"": {""latitude"": 48.89383909781389, ""longitude"": 2.325953990221024}}";0;yes;0;1;no;0;1;0;17121;Square des Epinettes;Operative;yes;48.8938390978, 2.32595399022;2019-03-05
40;0;43;no;1;yes;"{""code"": ""21706"", ""name"": "" Jean Bleuzen - Square du 11 Novembre"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1522879233, ""gps"": {""latitude"": 48.8232579, ""longitude"": 2.2965213}}";49;yes;5;1;no;6;3;0;21706;Jean Bleuzen - Square du 11 Novembre;Operative;yes;48.8232579, 2.2965213;2018-04-04
16;0;25;no;1;yes;"{""code"": ""9031"", ""name"": ""Provence - Chaussée d'Antin"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1522447200, ""gps"": {""latitude"": 48.87428447542072, ""longitude"": 2.332976511564311}}";25;yes;0;7;no;0;1;0;9031;Provence - Chaussée d'Antin;Operative;yes;48.8742844754, 2.33297651156;2018-03-30
20;0;24;no;1;yes;"{""code"": ""15049"", ""name"": ""Porte de Versailles "", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1530223250, ""gps"": {""latitude"": 48.83215381734912, ""longitude"": 2.2871491312980647}}";0;yes;0;3;no;0;1;0;15049;Porte de Versailles;Operative;yes;48.8321538173, 2.2871491313;2018-06-28
29;0;31;no;1;yes;"{""code"": ""9117"", ""name"": ""Bellefond - Maubeuge"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1551913200, ""gps"": {""latitude"": 48.878255397644715, ""longitude"": 2.345264218747616}}";0;yes;0;1;no;0;1;0;9117;Bellefond - Maubeuge;Operative;yes;48.8782553976, 2.34526421875;2019-03-06
19;0;25;no;1;no;"{""code"": ""8116"", ""name"": ""Champs-Elysees - Bassano"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1557612000, ""gps"": {""latitude"": 48.87181180781605, ""longitude"": 2.3002389818429947}}";0;yes;0;0;no;0;5;0;8116;Champs-Elysees - Bassano;Operative;yes;48.8718118078, 2.30023898184;2019-05-11
32;0;33;no;1;no;"{""code"": ""18008"", ""name"": ""Square Léon"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1524175237, ""gps"": {""latitude"": 48.88667396788626, ""longitude"": 2.353205569088459}}";33;yes;0;0;no;0;1;0;18008;Square Léon;Operative;yes;48.8866739679, 2.35320556909;2018-04-19
16;0;17;no;1;no;"{""code"": ""9026"", ""name"": ""Jean-Baptiste Pigalle - La Bruyere"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1512644152, ""gps"": {""latitude"": 48.87939826447722, ""longitude"": 2.333709173337285}}";17;yes;1;0;no;1;1;0;9026;Jean-Baptiste Pigalle - La Bruyere;Operative;yes;48.8793982645, 2.33370917334;2017-12-07
14;0;27;no;1;yes;"{""code"": ""21001"", ""name"": ""Transvaal - Charles de Gaulle "", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1517439645, ""gps"": {""latitude"": 48.848280403628806, ""longitude"": 2.2373420120857195}}";27;yes;1;9;no;1;4;0;21001;Transvaal - Charles de Gaulle;Operative;yes;48.8482804036, 2.23734201209;2018-01-31
0;0;0;no;1;no;"{""code"": ""20116"", ""name"": ""Haies - Réunion"", ""state"": ""Operative"", ""type"": ""no"", ""dueDate"": 1521154800, ""gps"": {""latitude"": 48.85386896766491, ""longitude"": 2.402426162238911}}";22;yes;20;2;no;22;0;0;20116;Haies - Réunion;Operative;no;48.8538689677, 2.40242616224;2018-03-15
15;0;17;no;1;yes;"{""code"": ""15002"", ""name"": ""Maine - Antoine Bourdelle"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1517356800, ""gps"": {""latitude"": 48.84308531746595, ""longitude"": 2.320263946784738}}";17;yes;0;0;no;0;1;0;15002;Maine - Antoine Bourdelle;Operative;yes;48.8430853175, 2.32026394678;2018-01-31
12;0;15;no;1;no;"{""code"": ""16043"", ""name"": ""Place de Passy"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1515106835, ""gps"": {""latitude"": 48.85780291711202, ""longitude"": 2.277500546942199}}";15;yes;1;3;no;1;0;0;16043;Place de Passy;Operative;yes;48.8578029171, 2.27750054694;2018-01-04
27;0;29;no;1;yes;"{""code"": ""9017"", ""name"": ""Lallier - Trudaine "", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1518649230, ""gps"": {""latitude"": 48.88109246617963, ""longitude"": 2.3408224806189537}}";29;yes;0;0;no;0;1;0;9017;Lallier - Trudaine;Operative;yes;48.8810924662, 2.34082248062;2018-02-14
24;0;25;no;1;no;"{""code"": ""10033"", ""name"": ""Gare du Nord - Saint-Vincent de Paul"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1558143717, ""gps"": {""latitude"": 48.88095574164779, ""longitude"": 2.352430514838522}}";25;yes;0;1;no;0;0;0;10033;Gare du Nord - Saint-Vincent de Paul;Operative;yes;48.8809557416, 2.35243051484;2019-05-18
43;0;45;no;1;yes;"{""code"": ""42703"", ""name"": ""Fontainebleau - Edmond Michelet"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1536530400, ""gps"": {""latitude"": 48.80956436844049, ""longitude"": 2.3626908659935}}";45;yes;0;0;no;0;1;0;42703;Fontainebleau - Edmond Michelet;Operative;yes;48.8095643684, 2.36269086599;2018-09-09
35;0;37;no;1;no;"{""code"": ""16112"", ""name"": ""Chernoviz - Raynouard"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1513066678, ""gps"": {""latitude"": 48.8569864146289, ""longitude"": 2.282173218142987}}";37;yes;1;0;no;1;1;0;16112;Chernoviz - Raynouard;Operative;yes;48.8569864146, 2.28217321814;2017-12-12
0;0;0;no;1;yes;"{""code"": ""14028"", ""name"": ""Alésia - Suisses"", ""state"": ""Operative"", ""type"": ""no"", ""dueDate"": 1522278049, ""gps"": {""latitude"": 48.831682520717614, ""longitude"": 2.3149869226003754}}";47;yes;43;0;no;47;3;0;14028;Alésia - Suisses;Operative;no;48.8316825207, 2.3149869226;2018-03-28
39;0;40;no;1;yes;"{""code"": ""32016"", ""name"": ""Place de la Porte de Paris"", ""state"": ""Work in progress"", ""type"": ""yes"", ""dueDate"": 1567255321, ""gps"": {""latitude"": 48.930292, ""longitude"": 2.356183}}";0;yes;0;1;no;0;0;0;32016;Place de la Porte de Paris;Work in progress;yes;48.930292, 2.356183;2019-08-31
30;0;32;no;1;no;"{""code"": ""32603"", ""name"": ""Calmette"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1522447200, ""gps"": {""latitude"": 48.88104925098552, ""longitude"": 2.424993216991425}}";32;yes;0;0;no;0;1;0;32603;Calmette;Operative;yes;48.881049251, 2.42499321699;2018-03-30
17;0;22;no;1;yes;"{""code"": ""21024"", ""name"": ""Billancourt - Général Leclerc "", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1552374900, ""gps"": {""latitude"": 48.8322649, ""longitude"": 2.2380413}}";0;yes;0;5;no;0;0;0;21024;Billancourt - Général Leclerc;Operative;yes;48.8322649, 2.2380413;2019-03-12
22;0;30;no;1;yes;"{""code"": ""2001"", ""name"": ""Greneta - Sebastopol"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1564524048, ""gps"": {""latitude"": 48.86524233322809, ""longitude"": 2.3516669869422917}}";0;yes;0;3;no;0;3;0;2001;Greneta - Sebastopol;Operative;yes;48.8652423332, 2.35166698694;2019-07-30
0;0;0;no;1;yes;"{""code"": ""2010"", ""name"": ""Uzès - Montmartre"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1521154800, ""gps"": {""latitude"": 48.870790980240706, ""longitude"": 2.3431010171771054}}";29;yes;14;9;no;29;6;0;2010;Uzès - Montmartre;Operative;yes;48.8707909802, 2.34310101718;2018-03-15
23;0;23;no;1;yes;"{""code"": ""4101"", ""name"": ""Bastille - Beaumarchais"", ""state"": ""Work in progress"", ""type"": ""yes"", ""dueDate"": 1567202400, ""gps"": {""latitude"": 48.85383346385182, ""longitude"": 2.3685702681541443}}";0;yes;0;0;no;0;0;0;4101;Bastille - Beaumarchais;Work in progress;yes;48.8538334639, 2.36857026815;2019-08-30
20;0;23;no;1;yes;"{""code"": ""14006"", ""name"": ""Saint-Jacques - Tombe Issoire"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1559682000, ""gps"": {""latitude"": 48.833206330538864, ""longitude"": 2.3369108140468597}}";23;yes;0;2;no;0;1;0;14006;Saint-Jacques - Tombe Issoire;Operative;yes;48.8332063305, 2.33691081405;2019-06-04
48;0;66;no;1;no;"{""code"": ""12108"", ""name"": ""Bercy"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1553886000, ""gps"": {""latitude"": 48.83996691499447, ""longitude"": 2.378862574696541}}";66;yes;0;15;no;0;0;0;12108;Bercy;Operative;yes;48.839966915, 2.3788625747;2019-03-29
